"stateroute","spRich","ndvi.mean","nbcd.point","nbcd.mean","nbcd.var","file"
17213,25,0.428198290598291,0,0,0,"NBCD_MZ33_BAW_height.tif"
17216,66,0.718884474885845,0,0,0,"NBCD_MZ23_BAW_height.tif"
17218,60,0.529498290598291,0,0,0,"NBCD_MZ27_BAW_height.tif"
17218,60,0.529498290598291,0,0,0,"NBCD_MZ28_BAW_height.tif"
17221,41,0.413801333333333,0,0,0,"NBCD_MZ27_BAW_height.tif"
17222,69,0.755542105263158,0,66.5,2688.3,"NBCD_MZ28_BAW_height.tif"
17301,49,0.382947435897436,0,0,0,"NBCD_MZ23_BAW_height.tif"
17302,46,0.415005701754386,0,0,0,"NBCD_MZ23_BAW_height.tif"
17304,57,0.618261842105263,0,46.4,4149.3,"NBCD_MZ28_BAW_height.tif"
17305,39,0.486716239316239,0,0,0,"NBCD_MZ33_BAW_height.tif"
17308,57,0.444058008658009,0,0,0,"NBCD_MZ23_BAW_height.tif"
17309,70,0.806014912280702,0,0,0,"NBCD_MZ28_BAW_height.tif"
17312,36,0.41797316017316,0,0,0,"NBCD_MZ33_BAW_height.tif"
17313,33,0.454720888888889,0,0,0,"NBCD_MZ33_BAW_height.tif"
17315,55,0.590340990990991,49,47,3.33333333333333,"NBCD_MZ23_BAW_height.tif"
17316,59,0.673424561403509,40,20.8333333333333,524.166666666667,"NBCD_MZ23_BAW_height.tif"
17318,54,0.538512,0,0,0,"NBCD_MZ28_BAW_height.tif"
17322,60,0.505643518518519,0,41.5,4134.3,"NBCD_MZ23_BAW_height.tif"
17351,68,0.347526495726496,0,0,0,"NBCD_MZ23_BAW_height.tif"
17353,54,0.70284025974026,0,96.5,4155,"NBCD_MZ28_BAW_height.tif"
17362,61,0.542704166666667,51,67.8,1096.7,"NBCD_MZ27_BAW_height.tif"
17367,55,0.622811111111111,0,0,0,"NBCD_MZ28_BAW_height.tif"
17372,63,0.597972888888889,0,0,0,"NBCD_MZ15_BAW_height.tif"
17372,63,0.597972888888889,0,0,0,"NBCD_MZ23_BAW_height.tif"
17372,63,0.597972888888889,0,0,0,"NBCD_MZ28_BAW_height.tif"
18003,70,0.897179033101402,183,179.714285714286,18.5714285714286,"NBCD_MZ65_BAW_height.tif"
18008,78,0.898537763255939,171,117.166666666667,8244.56666666667,"NBCD_MZ65_BAW_height.tif"
